Language,Locale,Channel title,Tagline,Description
Azerbaijani,az,PhET İnteraktiv Simulyasiyar,"Praktiki araşdırmalar və kəşflər vasitəsilə riyaziyyat, fizika, biologiya və kimyanı öyrənin.","Kolorado Boulder Universiteti tərəfindən yaradılan PhET Interactive Simulations layihəsi tələbələri intuitiv, oyuna bənzər mühitlərlə cəlb edən interaktiv riyaziyyat və elm simulyasiyalarını təmin edir. Tələbələr riyaziyyat, fizika, biologiya və kimya haqqında praktiki kəşfiyyat və kəşflər vasitəsilə öyrənə bilərlər."
Bosnian,bs,PhET interaktivne simulacije,"Nauči o matematici, fizici, biologiji i hemiji kroz praktična istraživanja i otkrića.","PhET Interactive Simulations projekat kreiran od strane Univerziteta Colorado Boulder pruža interaktivne matematičke i naučne simulacije koje uključuju studente u intuitivna okruženja nalik igrici. Učenici mogu naučiti o matematici, fizici, biologiji i hemiji kroz praktična istraživanja i otkrića."
Czech,cs,Interaktivní simulace PhET,"Učte se matematiku, fyziku, biologii a chemii prostřednictvím praktického zkoumání a objevování.","Projekt PhET Interactive Simulations vytvořený University of Colorado Boulder poskytuje interaktivní matematické a vědecké simulace, které zapojují studenty do intuitivních herních prostředí. Studenti se mohou dozvědět o matematice, fyzice, biologii a chemii prostřednictvím praktického zkoumání a objevování."
Danish,da,PhET interaktive simulationer,"Lær om matematik, fysik, biologi og kemi gennem praktisk udforskning og opdagelse.","PhET Interactive Simulations-projektet skabt af University of Colorado Boulder giver interaktive matematik- og naturvidenskabelige simuleringer, der engagerer eleverne i intuitive, spillignende miljøer. Elever kan lære om matematik, fysik, biologi og kemi gennem praktisk udforskning og opdagelse."
English,en,PhET Interactive Simulations,"Learn about math, physics, biology, and chemistry through hands-on exploration and discovery","The PhET Interactive Simulations project created by the University of Colorado Boulder provides interactive math and science simulations that engage students with intuitive, game-like environments. Students can learn about math, physics, biology, and chemistry through hands-on exploration and discovery. The simulations are appropriate for all ages and include guiding teacher lesson plans."
French,fr,PhET simulations interactives,"Apprenez les mathématiques, la physique, la biologie et la chimie grâce à une exploration et une découverte pratiques.","Le projet PhET Simulations Interactives créé par l'Université du Colorado à Boulder propose des environnements intuitifs et ludiques qui engagent les étudiants et oú leur peuvent en apprendre davantage sur les mathématiques, la physique, la biologie et la chimie grâce à l’exploration et la découverte pratiques."
German,de,PhET interaktive Simulationen,"Lernen Sie Mathematik, Physik, Biologie und Chemie durch praktisches Erforschen und Entdecken.","Das von der University of Colorado Boulder ins Leben gerufene Projekt PhET Interactive Simulations bietet interaktive Mathematik- und Naturwissenschaftssimulationen, die Schüler mit intuitiven, spielähnlichen Umgebungen begeistern. Schüler können durch praktisches Erforschen und Entdecken etwas über Mathematik, Physik, Biologie und Chemie lernen."
"Greek, Modern",el,Διαδραστικές προσομοιώσεις PhET,"Μάθε μαθηματικά, φυσική, βιολογία και χημεία μέσω πρακτικής εξερεύνησης και ανακάλυψης.","Το έργο PhET Interactive Simulations που δημιουργήθηκε από το Πανεπιστήμιο του Colorado Boulder παρέχει διαδραστικές προσομοιώσεις μαθηματικών και φυσικών επιστημών που εμπλέκουν τους μαθητές με διαισθητικά περιβάλλοντα που μοιάζουν με παιχνίδια. Οι μαθητές μπορούν να μάθουν για τα μαθηματικά, τη φυσική, τη βιολογία και τη χημεία μέσω της πρακτικής εξερεύνησης και ανακάλυψης."
Gujarati,gu,PhET ઇન્ટરેક્ટિવ સિમ્યુલેશન્સ,"પ્રાયોગિક સંશોધનો અને શોધ વડે ગણિત, ભૌતિકવિજ્ઞાન, જીવવિજ્ઞાન, રસાયણવિજ્ઞાન વિશે શીખો","યુનિવર્સિટી ઓફ કોલોરાડો બોલ્ડર દ્વારા બનાવવામાં આવેલ PhET ઇન્ટરેક્ટિવ સિમ્યુલેશન પ્રોજેક્ટ ઇન્ટરેક્ટિવ ગણિત અને વિજ્ઞાન સિમ્યુલેશન પ્રદાન કરે છે જે વિદ્યાર્થીઓને સાહજિક, રમત જેવા વાતાવરણ સાથે જોડે છે. વિદ્યાર્થીઓ હાથ પર સંશોધન અને શોધ દ્વારા ગણિત, ભૌતિકશાસ્ત્ર, જીવવિજ્ઞાન અને રસાયણશાસ્ત્ર વિશે શીખી શકે છે."
Haitian,ht,Similasyon Enteraktif PhET,"Aprann matematik, fizik, byoloji, ak chimi atravè divès eksplorasyon ak dekouvèt pratik.","Pwojè PhET Interactive Simulations ki kreye pa Inivèsite Colorado Boulder ofri similasyon entèraktif matematik ak syans ki angaje elèv yo ak anviwònman entwisyon ki sanble ak yon jwèt. Elèv yo ka aprann matematik, fizik, byoloji, ak chimi atravè eksplorasyon pratik ak dekouvèt."
